Country,Year,Business sophistication,Corporate Tax,Creative outputs,GDP,GDP_per_capita_PPP,GERD,GNI_per_capita,General Revenue,Global Innovation Index,Human capital and research,Infrastructure,Institutions,Internet Usage,Knowledge and technology outputs,Market sophistication,Patent Publications,Unemployment Rate,WIPO Tax
China,2013,42.9,25.0,31.9,9570470000000.0,11872.4974,1.9979,6740.0,10.9562,44.7,40.6,39.8,48.3,45.8,56.4,54.2,10367.0,4.6,18.64
China,2014,41.8,25.0,35.7,10475600000000.0,12480.3385,2.0224,7470.0,15.8182,46.6,43.4,45.0,48.3,47.9,59.0,50.5,12334.0,4.63,18.518
China,2015,44.9,25.0,35.1,11061600000000.0,12897.5023,2.057,7890.0,16.043,47.5,43.1,50.5,54.0,50.3,58.0,49.3,14812.0,4.65,18.135
China,2016,53.8,25.0,42.7,11233300000000.0,13483.3773,2.1003,8210.0,15.6299,50.6,48.1,52.0,55.2,53.2,53.3,56.6,16214.0,4.56,17.464
China,2017,54.5,25.0,45.3,12310500000000.0,14243.5326,2.116,8670.0,15.8832,52.5,49.2,57.9,54.8,54.3,56.4,54.7,20372.0,4.47,17.351
China,2018,56.0,25.0,45.4,13894900000000.0,15495.5484,2.1406,9540.0,16.5359,53.1,47.8,56.8,59.4,59.2,56.5,55.6,19480.0,4.31,17.014
China,2019,55.4,25.0,48.3,14280000000000.0,16652.0988,2.2446,10310.0,16.1006,54.8,47.6,58.7,64.1,64.0809,57.2,58.6,19598.0,4.56,22.089
China,2020,52.9,25.0,47.0,14687700000000.0,17189.2818,2.4067,10530.0,14.0861,53.3,49.4,52.1,64.6,70.0528,55.1,58.5,20073.0,5.0,20.077
China,2021,54.3,25.0,46.5,17820500000000.0,19338.2341,2.4326,11890.0,14.937,54.8,50.6,54.6,64.4,73.0532,58.5,61.5,22475.0,4.55,21.04
China,2022,55.9,25.0,49.3,17881800000000.0,18263.7579,2.5552,11210.0,15.0125,55.3,53.1,57.5,64.8,75.6113,56.8,56.0,23598.0,4.98,20.05
France,2013,46.1,38.0,49.0,2816080000000.0,39523.8552,2.237,43800.0,44.1114,52.8,54.6,52.4,79.0,81.9198,44.3,63.1,155.0,9.913,45.329
France,2014,47.4,38.0,45.5,2861240000000.0,40144.0268,2.2759,43340.0,44.2203,52.2,55.9,54.7,78.6,83.7511,44.2,61.0,181.0,10.273,45.406
France,2015,49.3,38.0,50.8,2442480000000.0,40849.9974,2.227,41130.0,43.9776,53.6,55.5,60.8,81.7,78.006,41.1,59.0,192.0,10.354,45.363
France,2016,48.0,34.4,49.8,2470410000000.0,42924.6136,2.2224,39100.0,43.9032,54.0,58.9,63.7,80.4,79.2698,41.3,61.9,243.0,10.057,45.397
France,2017,50.6,44.4,51.4,2588870000000.0,44577.0646,2.1989,38320.0,44.469,54.2,58.1,63.4,80.7,80.5025,38.5,64.3,217.0,9.409,46.239
France,2018,50.6,34.4,49.2,2781580000000.0,46576.6018,2.1967,41200.0,44.1638,54.4,56.8,62.9,81.2,82.0432,41.6,65.0,196.0,9.018,46.022
France,2019,53.3,34.4,45.0,2722790000000.0,49072.3638,2.1918,42550.0,43.0563,54.2,55.8,62.3,83.2,83.3397,45.0,62.9,227.0,8.415,45.024
France,2020,50.2,32.0,46.7,2647930000000.0,46991.182,2.2746,39500.0,42.8265,53.7,56.2,57.7,83.7,84.7064,45.1,59.4,202.0,8.009,45.239
France,2021,50.4,28.4,52.6,2966430000000.0,50728.6674,2.2181,43880.0,42.5314,55.0,55.4,57.1,83.4,86.0955,44.3,61.0,181.0,7.874,45.059
France,2022,53.2,25.8,52.5,2796300000000.0,48859.9247,2.2331,41690.0,43.2958,55.0,57.3,59.0,77.0,85.3333,45.5,58.0,159.0,7.308,45.774
Germany,2013,45.9,29.6,54.7,3808090000000.0,44993.8928,2.836,47220.0,27.9916,55.8,54.3,53.5,82.5,84.17,49.1,62.8,346.0,5.316,37.675
Germany,2014,46.1,29.7,50.4,3965800000000.0,47011.5511,2.8778,47640.0,27.9499,56.0,56.3,56.3,82.7,86.1937,53.1,60.1,379.0,4.979,37.614
Germany,2015,49.2,29.8,52.8,3423570000000.0,47609.781,2.9338,45780.0,27.9566,57.1,56.6,56.7,83.2,87.5898,53.4,59.2,519.0,4.612,38.052
Germany,2016,48.3,29.8,56.3,3537780000000.0,50579.6839,2.9404,44280.0,27.8598,57.9,58.9,58.5,84.1,84.1652,51.6,59.7,575.0,4.104,38.518
Germany,2017,51.4,29.9,55.9,3763090000000.0,53071.4556,3.0471,43760.0,28.0081,58.4,60.1,61.5,83.5,84.3942,51.1,60.0,525.0,3.781,38.528
Germany,2018,52.8,29.9,53.3,4052010000000.0,55235.3663,3.1101,47470.0,28.3846,58.0,58.7,60.5,85.9,87.0371,52.2,58.5,548.0,3.384,39.196
Germany,2019,56.1,29.9,49.6,3957210000000.0,55652.8875,3.167,49190.0,28.667,58.2,63.2,62.0,86.4,88.1345,52.7,58.6,473.0,3.163,39.326
Germany,2020,53.7,29.8,49.1,3940140000000.0,54844.546,3.1314,47520.0,28.5742,56.5,61.1,58.0,84.6,89.8129,51.7,56.1,501.0,3.881,38.652
Germany,2021,54.5,29.9,50.0,4348300000000.0,57927.5901,3.1288,51040.0,28.6204,57.3,62.7,55.6,84.3,91.4306,53.3,57.8,448.0,3.594,39.781
Germany,2022,52.7,29.9,52.3,4163600000000.0,56386.068,3.1324,49280.0,28.2975,57.2,64.1,57.7,76.5,91.6298,54.8,53.7,434.0,3.12,39.647
Japan,2013,47.4,37.0,38.7,5212330000000.0,39402.0251,3.279,48850.0,36.0515,52.2,57.2,56.3,83.5,88.2194,44.6,69.7,9131.0,4.038,28.557
Japan,2014,46.8,34.6,38.1,4896990000000.0,39555.412,3.3679,44440.0,36.0851,52.4,54.4,58.9,84.1,89.1068,47.2,66.8,8797.0,3.589,29.973
Japan,2015,50.4,32.1,39.6,4444930000000.0,40898.807,3.2407,39380.0,35.9671,54.0,55.0,63.1,86.5,91.058,48.6,64.3,9171.0,3.385,30.242
Japan,2016,52.8,30.0,39.2,5003680000000.0,40596.9687,3.1067,38460.0,35.8815,54.5,57.5,64.4,87.1,93.1827,46.9,68.3,8542.0,3.132,30.279
Japan,2017,54.5,30.0,40.8,4930840000000.0,41444.2157,3.1664,38930.0,36.2386,54.7,56.7,64.3,87.4,91.7265,47.1,64.3,8852.0,2.822,30.916
Japan,2018,53.8,29.7,40.4,5040880000000.0,42116.4743,3.2192,41770.0,36.2742,55.0,54.3,64.0,89.8,88.7464,48.6,65.3,6998.0,2.467,31.548
Japan,2019,56.5,29.7,37.9,5117990000000.0,42282.5509,3.2182,42010.0,35.8617,54.7,49.1,64.0,89.9,92.7304,50.8,65.8,6982.0,2.351,31.507
Japan,2020,57.1,29.7,37.2,5055590000000.0,42100.2577,3.2646,40810.0,35.7003,52.7,47.3,60.0,89.3,90.2195,46.4,64.3,6807.0,2.809,32.909
Japan,2021,57.3,29.7,42.1,5034620000000.0,42940.4053,3.2768,42620.0,35.5759,54.5,50.8,59.8,88.8,82.9141,48.3,62.1,6117.0,2.828,33.883
Japan,2022,58.1,29.7,38.9,4256410000000.0,42191.4043,3.4054,41410.0,35.7967,53.6,52.7,61.3,75.8,84.9234,52.6,59.0,5218.0,2.6,34.441
Korea,2013,43.3,24.2,41.3,1370630000000.0,34244.3121,3.9512,26980.0,26.1151,53.3,64.8,60.7,76.0,84.77,47.8,65.7,4601.0,2.747,23.143
Korea,2014,42.7,24.2,42.2,1484490000000.0,35324.4977,4.0779,28160.0,24.9884,55.3,64.1,62.8,75.8,87.5568,54.5,65.4,5847.0,3.082,23.381
Korea,2015,45.2,24.2,43.6,1466040000000.0,37902.4004,3.9782,28720.0,24.814,56.3,64.8,62.4,76.2,89.8963,56.7,63.3,5922.0,3.546,23.737
Korea,2016,50.1,24.2,47.4,1499680000000.0,39575.4543,3.987,29330.0,25.7572,57.1,66.9,63.3,75.4,92.843,54.1,62.0,5548.0,3.65,24.745
Korea,2017,51.1,24.2,49.4,1623070000000.0,40957.4181,4.2921,30300.0,26.1847,57.7,66.2,63.4,74.5,95.0694,54.7,61.6,5268.0,3.653,25.357
Korea,2018,50.2,27.5,46.4,1725370000000.0,43044.2918,4.5163,32750.0,27.4489,56.6,65.3,62.7,78.5,96.0229,53.3,60.4,4213.0,3.824,26.686
Korea,2019,57.6,27.5,44.1,1651420000000.0,42998.3882,4.627,33830.0,27.8802,56.6,66.5,61.6,79.7,96.1576,50.2,64.3,3965.0,3.746,27.227
Korea,2020,60.3,27.5,45.8,1644310000000.0,45225.8445,4.7957,32930.0,27.9025,56.1,65.2,57.7,78.4,96.5051,49.0,62.5,4289.0,3.931,27.745
Korea,2021,60.1,27.5,52.1,1818430000000.0,46918.4748,4.9099,34980.0,29.9338,59.3,67.4,59.2,79.5,97.5713,54.5,60.0,4593.0,3.639,29.761
Korea,2022,58.0,27.5,55.1,1673920000000.0,44112.1164,5.2108,33380.0,32.0042,57.8,66.4,60.3,70.5,97.1686,54.7,48.0,5062.0,2.857,31.976
United Kingdom,2013,52.3,23.0,57.5,2784850000000.0,40218.7473,1.621,42920.0,33.7261,61.2,56.2,59.4,88.4,89.8441,51.1,84.6,253.0,7.704,32.007
United Kingdom,2014,50.2,21.0,56.6,3064710000000.0,41580.6025,2.2649,44670.0,32.8833,62.4,60.3,60.6,88.6,91.6133,56.4,81.4,309.0,6.363,31.693
United Kingdom,2015,53.6,20.0,60.5,2927910000000.0,42912.8751,2.2757,44730.0,33.1025,62.4,57.5,63.0,87.3,92.0003,54.9,74.3,229.0,5.517,31.907
United Kingdom,2016,49.2,20.0,62.5,2689110000000.0,44635.2996,2.3205,43460.0,33.6042,61.9,62.6,66.4,87.6,94.7758,50.2,71.6,210.0,4.867,32.45
United Kingdom,2017,52.2,19.0,60.5,2680150000000.0,46372.3866,2.326,41880.0,33.9963,60.9,63.3,67.1,88.4,90.4246,46.5,70.2,286.0,4.452,32.733
United Kingdom,2018,53.0,19.0,56.5,2871340000000.0,47573.488,2.7112,42410.0,33.961,60.1,61.3,65.8,87.4,90.692,48.2,72.0,251.0,4.12,32.768
United Kingdom,2019,54.3,19.0,52.2,2851410000000.0,49041.4636,2.6708,43460.0,33.5329,61.3,59.3,64.4,87.1,92.5166,56.6,76.0,190.0,3.613,32.49
United Kingdom,2020,51.0,19.0,52.7,2696780000000.0,46526.9119,2.9388,39970.0,33.7373,59.8,58.0,60.3,86.1,94.8182,54.4,74.4,229.0,4.472,32.812
United Kingdom,2021,49.7,19.0,54.0,3143320000000.0,49675.3047,2.8971,45380.0,35.1041,59.8,58.2,59.7,86.6,95.2591,52.3,78.1,205.0,4.826,34.227
United Kingdom,2022,51.7,19.0,55.9,3114040000000.0,49358.3841,2.8583,44420.0,36.6809,59.7,61.5,62.9,74.5,95.3412,55.7,67.6,250.0,3.73,35.42
United States of America,2013,59.2,39.0,49.2,16880700000000.0,53291.1277,2.6959,53990.0,18.7407,60.3,61.1,52.5,86.0,71.4,53.6,87.1,17768.0,7.375,25.413
United States of America,2014,53.7,39.1,46.5,17608100000000.0,55123.8498,2.7088,55800.0,18.8588,60.1,58.3,57.5,86.2,73.0,58.1,83.8,20943.0,6.168,25.786
United States of America,2015,55.4,39.0,47.8,18295000000000.0,56762.7294,2.7733,56620.0,18.9954,60.1,54.0,58.8,86.8,74.5542,58.0,81.5,22825.0,5.28,26.087
United States of America,2016,52.4,38.9,51.6,18804900000000.0,57866.7449,2.8368,57140.0,18.5408,61.4,57.0,61.7,85.7,85.5444,56.5,86.6,24810.0,4.869,25.713
United States of America,2017,56.4,38.9,53.5,19612100000000.0,59914.7778,2.8836,59250.0,19.2095,61.4,57.2,61.0,86.2,87.2749,54.4,83.4,24282.0,4.355,26.459
United States of America,2018,56.1,25.8,48.0,20656500000000.0,62805.2538,2.9904,63490.0,17.4794,59.8,51.3,58.8,87.7,88.4989,55.6,85.1,22941.0,3.896,24.816
United States of America,2019,62.7,25.9,45.5,21540000000000.0,65094.7994,3.147,65970.0,17.2908,61.7,55.7,59.2,89.7,89.4303,59.7,87.0,23911.0,3.669,24.982
United States of America,2020,62.8,25.8,47.7,21354100000000.0,63027.6795,3.4247,64140.0,17.7464,60.6,56.3,54.7,88.9,96.5768,56.8,81.4,23034.0,8.055,25.57
United States of America,2021,63.0,25.8,47.8,23681200000000.0,69287.5366,3.4831,70430.0,18.66,61.3,58.1,55.3,87.6,96.7792,59.2,81.5,21218.0,5.349,26.709
United States of America,2022,64.5,25.8,48.4,26006900000000.0,67191.168,3.5862,68200.0,19.3679,61.8,59.9,58.7,80.9,97.1299,60.8,80.8,19610.0,3.65,27.607
