Country,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,Corporate Tax,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%
France,Corporate Tax,38.0%,38.0%,38.0%,34.4%,44.4%,34.4%,34.4%,32.0%,28.4%,25.8%
Germany,Corporate Tax,29.6%,29.7%,29.8%,29.8%,29.9%,29.9%,29.9%,29.8%,29.9%,29.9%
Japan,Corporate Tax,37.0%,34.6%,32.1%,30.0%,30.0%,29.7%,29.7%,29.7%,29.7%,29.7%
Korea,Corporate Tax,24.2%,24.2%,24.2%,24.2%,24.2%,27.5%,27.5%,27.5%,27.5%,27.5%
United Kingdom,Corporate Tax,23.0%,21.0%,20.0%,20.0%,19.0%,19.0%,19.0%,19.0%,19.0%,19.0%
United States of America,Corporate Tax,39.0%,39.1%,39.0%,38.9%,38.9%,25.8%,25.9%,25.8%,25.8%,25.8%
China,GERD,1.99786,2.02243,2.05701,2.10033,2.11603,2.14058,2.24463,2.40666,2.4326,2.55518
France,GERD,2.23703,2.27592,2.22702,2.22238,2.19888,2.19666,2.19179,2.27464,2.21808,2.23312
Germany,GERD,2.83599,2.87784,2.93379,2.94039,3.0471,3.11011,3.16701,3.13136,3.12882,3.13236
Japan,GERD,3.27896,3.36788,3.24071,3.10666,3.16636,3.2192,3.21824,3.26458,3.27677,3.40537
Korea,GERD,3.95124,4.07786,3.9782,3.98704,4.29206,4.51633,4.62703,4.79571,4.90988,5.21081
United Kingdom,GERD,1.62096,2.26488,2.27566,2.32052,2.32602,2.71124,2.6708,2.93883,2.89711,2.85831
United States of America,GERD,2.69592,2.70881,2.77328,2.83676,2.88357,2.99045,3.14704,3.42467,3.48313,3.58623
China,Institutions,48.3,48.3,54.0,55.2,54.8,59.4,64.1,64.6,64.4,64.8
France,Institutions,79.0,78.6,81.7,80.4,80.7,81.2,83.2,83.7,83.4,77.0
Germany,Institutions,82.5,82.7,83.2,84.1,83.5,85.9,86.4,84.6,84.3,76.5
Japan,Institutions,83.5,84.1,86.5,87.1,87.4,89.8,89.9,89.3,88.8,75.8
Korea,Institutions,76.0,75.8,76.2,75.4,74.5,78.5,79.7,78.4,79.5,70.5
United Kingdom,Institutions,88.4,88.6,87.3,87.6,88.4,87.4,87.1,86.1,86.6,74.5
United States of America,Institutions,86.0,86.2,86.8,85.7,86.2,87.7,89.7,88.9,87.6,80.9
China,Human capital and research,40.6,43.4,43.1,48.1,49.2,47.8,47.6,49.4,50.6,53.1
France,Human capital and research,54.6,55.9,55.5,58.9,58.1,56.8,55.8,56.2,55.4,57.3
Germany,Human capital and research,54.3,56.3,56.6,58.9,60.1,58.7,63.2,61.1,62.7,64.1
Japan,Human capital and research,57.2,54.4,55.0,57.5,56.7,54.3,49.1,47.3,50.8,52.7
Korea,Human capital and research,64.8,64.1,64.8,66.9,66.2,65.3,66.5,65.2,67.4,66.4
United Kingdom,Human capital and research,56.2,60.3,57.5,62.6,63.3,61.3,59.3,58.0,58.2,61.5
United States of America,Human capital and research,61.1,58.3,54.0,57.0,57.2,51.3,55.7,56.3,58.1,59.9
China,Infrastructure,39.8,45.0,50.5,52.0,57.9,56.8,58.7,52.1,54.6,57.5
France,Infrastructure,52.4,54.7,60.8,63.7,63.4,62.9,62.3,57.7,57.1,59.0
Germany,Infrastructure,53.5,56.3,56.7,58.5,61.5,60.5,62.0,58.0,55.6,57.7
Japan,Infrastructure,56.3,58.9,63.1,64.4,64.3,64.0,64.0,60.0,59.8,61.3
Korea,Infrastructure,60.7,62.8,62.4,63.3,63.4,62.7,61.6,57.7,59.2,60.3
United Kingdom,Infrastructure,59.4,60.6,63.0,66.4,67.1,65.8,64.4,60.3,59.7,62.9
United States of America,Infrastructure,52.5,57.5,58.8,61.7,61.0,58.8,59.2,54.7,55.3,58.7
China,Market sophistication,54.2,50.5,49.3,56.6,54.7,55.6,58.6,58.5,61.5,56.0
France,Market sophistication,63.1,61.0,59.0,61.9,64.3,65.0,62.9,59.4,61.0,58.0
Germany,Market sophistication,62.8,60.1,59.2,59.7,60.0,58.5,58.6,56.1,57.8,53.7
Japan,Market sophistication,69.7,66.8,64.3,68.3,64.3,65.3,65.8,64.3,62.1,59.0
Korea,Market sophistication,65.7,65.4,63.3,62.0,61.6,60.4,64.3,62.5,60.0,48.0
United Kingdom,Market sophistication,84.6,81.4,74.3,71.6,70.2,72.0,76.0,74.4,78.1,67.6
United States of America,Market sophistication,87.1,83.8,81.5,86.6,83.4,85.1,87.0,81.4,81.5,80.8
China,Business sophistication,42.9,41.8,44.9,53.8,54.5,56.0,55.4,52.9,54.3,55.9
France,Business sophistication,46.1,47.4,49.3,48.0,50.6,50.6,53.3,50.2,50.4,53.2
Germany,Business sophistication,45.9,46.1,49.2,48.3,51.4,52.8,56.1,53.7,54.5,52.7
Japan,Business sophistication,47.4,46.8,50.4,52.8,54.5,53.8,56.5,57.1,57.3,58.1
Korea,Business sophistication,43.3,42.7,45.2,50.1,51.1,50.2,57.6,60.3,60.1,58.0
United Kingdom,Business sophistication,52.3,50.2,53.6,49.2,52.2,53.0,54.3,51.0,49.7,51.7
United States of America,Business sophistication,59.2,53.7,55.4,52.4,56.4,56.1,62.7,62.8,63.0,64.5
China,Knowledge and technology outputs,56.4,59.0,58.0,53.3,56.4,56.5,57.2,55.1,58.5,56.8
France,Knowledge and technology outputs,44.3,44.2,41.1,41.3,38.5,41.6,45.0,45.1,44.3,45.5
Germany,Knowledge and technology outputs,49.1,53.1,53.4,51.6,51.1,52.2,52.7,51.7,53.3,54.8
Japan,Knowledge and technology outputs,44.6,47.2,48.6,46.9,47.1,48.6,50.8,46.4,48.3,52.6
Korea,Knowledge and technology outputs,47.8,54.5,56.7,54.1,54.7,53.3,50.2,49.0,54.5,54.7
United Kingdom,Knowledge and technology outputs,51.1,56.4,54.9,50.2,46.5,48.2,56.6,54.4,52.3,55.7
United States of America,Knowledge and technology outputs,53.6,58.1,58.0,56.5,54.4,55.6,59.7,56.8,59.2,60.8
China,Creative outputs,31.9,35.7,35.1,42.7,45.3,45.4,48.3,47.0,46.5,49.3
France,Creative outputs,49.0,45.5,50.8,49.8,51.4,49.2,45.0,46.7,52.6,52.5
Germany,Creative outputs,54.7,50.4,52.8,56.3,55.9,53.3,49.6,49.1,50.0,52.3
Japan,Creative outputs,38.7,38.1,39.6,39.2,40.8,40.4,37.9,37.2,42.1,38.9
Korea,Creative outputs,41.3,42.2,43.6,47.4,49.4,46.4,44.1,45.8,52.1,55.1
United Kingdom,Creative outputs,57.5,56.6,60.5,62.5,60.5,56.5,52.2,52.7,54.0,55.9
United States of America,Creative outputs,49.2,46.5,47.8,51.6,53.5,48.0,45.5,47.7,47.8,48.4
China,Global Innovation Index,44.7,46.6,47.5,50.6,52.5,53.1,54.8,53.3,54.8,55.3
France,Global Innovation Index,52.8,52.2,53.6,54.0,54.2,54.4,54.2,53.7,55.0,55.0
Germany,Global Innovation Index,55.8,56.0,57.1,57.9,58.4,58.0,58.2,56.5,57.3,57.2
Japan,Global Innovation Index,52.2,52.4,54.0,54.5,54.7,55.0,54.7,52.7,54.5,53.6
Korea,Global Innovation Index,53.3,55.3,56.3,57.1,57.7,56.6,56.6,56.1,59.3,57.8
United Kingdom,Global Innovation Index,61.2,62.4,62.4,61.9,60.9,60.1,61.3,59.8,59.8,59.7
United States of America,Global Innovation Index,60.3,60.1,60.1,61.4,61.4,59.8,61.7,60.6,61.3,61.8
China,GNI_per_capita,6740.0,7470.0,7890.0,8210.0,8670.0,9540.0,10310.0,10530.0,11890.0,11210.0
France,GNI_per_capita,43800.0,43340.0,41130.0,39100.0,38320.0,41200.0,42550.0,39500.0,43880.0,41690.0
Germany,GNI_per_capita,47220.0,47640.0,45780.0,44280.0,43760.0,47470.0,49190.0,47520.0,51040.0,49280.0
Japan,GNI_per_capita,48850.0,44440.0,39380.0,38460.0,38930.0,41770.0,42010.0,40810.0,42620.0,41410.0
Korea,GNI_per_capita,26980.0,28160.0,28720.0,29330.0,30300.0,32750.0,33830.0,32930.0,34980.0,33380.0
United Kingdom,GNI_per_capita,42920.0,44670.0,44730.0,43460.0,41880.0,42410.0,43460.0,39970.0,45380.0,44420.0
United States of America,GNI_per_capita,53990.0,55800.0,56620.0,57140.0,59250.0,63490.0,65970.0,64140.0,70430.0,68200.0
China,GDP_per_capita_PPP,11872.49738,12480.33853,12897.50229,13483.37727,14243.53261,15495.54842,16652.0988,17189.28179,19338.23408,18263.75794
France,GDP_per_capita_PPP,39523.85515,40144.02683,40849.99738,42924.61363,44577.06457,46576.60185,49072.36383,46991.18203,50728.66743,48859.92473
Germany,GDP_per_capita_PPP,44993.89275,47011.55109,47609.781,50579.68393,53071.45557,55235.3663,55652.88749,54844.54597,57927.59007,56386.06802
Japan,GDP_per_capita_PPP,39402.0251,39555.41201,40898.80697,40596.96866,41444.21574,42116.47435,42282.55089,42100.25769,42940.40525,42191.40429
Korea,GDP_per_capita_PPP,34244.31214,35324.49767,37902.4004,39575.45428,40957.41806,43044.29176,42998.38824,45225.84454,46918.47482,44112.11639
United Kingdom,GDP_per_capita_PPP,40218.74726,41580.60249,42912.87509,44635.29956,46372.3866,47573.48802,49041.46355,46526.91187,49675.30467,49358.38411
United States of America,GDP_per_capita_PPP,53291.12769,55123.84979,56762.72945,57866.74493,59914.7778,62805.25376,65094.79943,63027.67953,69287.53659,67191.16801
China,Patent Publications,10367,12334,14812,16214,20372,19480,19598,20073,22475,23598
France,Patent Publications,155,181,192,243,217,196,227,202,181,159
Germany,Patent Publications,346,379,519,575,525,548,473,501,448,434
Japan,Patent Publications,9131,8797,9171,8542,8852,6998,6982,6807,6117,5218
Korea,Patent Publications,4601,5847,5922,5548,5268,4213,3965,4289,4593,5062
United Kingdom,Patent Publications,253,309,229,210,286,251,190,229,205,250
United States of America,Patent Publications,17768,20943,22825,24810,24282,22941,23911,23034,21218,19610
China,WIPO Tax,18.64,18.518,18.135,17.464,17.351,17.014,22.089,20.077,21.04,20.05
France,WIPO Tax,45.329,45.406,45.363,45.397,46.239,46.022,45.024,45.239,45.059,45.774
Germany,WIPO Tax,37.675,37.614,38.052,38.518,38.528,39.196,39.326,38.652,39.781,39.647
Japan,WIPO Tax,28.557,29.973,30.242,30.279,30.916,31.548,31.507,32.909,33.883,34.441
Korea,WIPO Tax,23.143,23.381,23.737,24.745,25.357,26.686,27.227,27.745,29.761,31.976
United Kingdom,WIPO Tax,32.007,31.693,31.907,32.45,32.733,32.768,32.49,32.812,34.227,35.42
United States of America,WIPO Tax,25.413,25.786,26.087,25.713,26.459,24.816,24.982,25.57,26.709,27.607
China,GDP,9570470000000.0,10475600000000.0,11061600000000.0,11233300000000.0,12310500000000.0,13894900000000.0,14280000000000.0,14687700000000.0,17820500000000.0,17881800000000.0
France,GDP,2816080000000.0,2861240000000.0,2442480000000.0,2470410000000.0,2588870000000.0,2781580000000.0,2722790000000.0,2647930000000.0,2966430000000.0,2796300000000.0
Germany,GDP,3808090000000.0,3965800000000.0,3423570000000.0,3537780000000.0,3763090000000.0,4052010000000.0,3957210000000.0,3940140000000.0,4348300000000.0,4163600000000.0
Japan,GDP,5212330000000.0,4896990000000.0,4444930000000.0,5003680000000.0,4930840000000.0,5040880000000.0,5117990000000.0,5055590000000.0,5034620000000.0,4256410000000.0
Korea,GDP,1370630000000.0,1484490000000.0,1466040000000.0,1499680000000.0,1623070000000.0,1725370000000.0,1651420000000.0,1644310000000.0,1818430000000.0,1673920000000.0
United Kingdom,GDP,2784850000000.0,3064710000000.0,2927910000000.0,2689110000000.0,2680150000000.0,2871340000000.0,2851410000000.0,2696780000000.0,3143320000000.0,3114040000000.0
United States of America,GDP,16880700000000.0,17608100000000.0,18295000000000.0,18804900000000.0,19612100000000.0,20656500000000.0,21540000000000.0,21354100000000.0,23681200000000.0,26006900000000.0
China,General Revenue,10.95623652,15.81817803,16.04302306,15.62992643,15.88317205,16.53589554,16.10057039,14.08608684,14.9369704,15.01247334
France,General Revenue,44.11140434,44.22033538,43.9775732,43.90319789,44.46902611,44.16376959,43.05633057,42.82650186,42.53135129,43.29584795
Germany,General Revenue,27.99158087,27.949899,27.95660558,27.85977329,28.00814143,28.38461382,28.66697031,28.57416179,28.62043923,28.29745691
Japan,General Revenue,36.0514926,36.08511719,35.96708939,35.88148559,36.23858377,36.2741917,35.86165044,35.70033183,35.57589526,35.79665243
Korea,General Revenue,26.11512973,24.98844436,24.81399026,25.75718742,26.18468005,27.44892328,27.88016163,27.90250205,29.93376681,32.00416444
United Kingdom,General Revenue,33.72606675,32.88329645,33.10248997,33.60418147,33.99630825,33.96095533,33.53287784,33.73728183,35.10405181,36.68091867
United States of America,General Revenue,18.74071209,18.85884527,18.99535879,18.54082122,19.20952736,17.47935857,17.29084732,17.74639724,18.66002066,19.36789335
China,Internet Usage,45.8,47.9,50.3,53.2,54.3,59.2,64.0809,70.0528,73.0532,75.6113
France,Internet Usage,81.9198,83.7511,78.006,79.2698,80.5025,82.0432,83.3397,84.7064,86.0955,85.3333
Germany,Internet Usage,84.17,86.1937,87.5898,84.1652,84.3942,87.0371,88.1345,89.8129,91.4306,91.6298
Japan,Internet Usage,88.2194,89.1068,91.058,93.1827,91.7265,88.7464,92.7304,90.2195,82.9141,84.9234
Korea,Internet Usage,84.77,87.5568,89.8963,92.843,95.0694,96.0229,96.1576,96.5051,97.5713,97.1686
United Kingdom,Internet Usage,89.8441,91.6133,92.0003,94.7758,90.4246,90.692,92.5166,94.8182,95.2591,95.3412
United States of America,Internet Usage,71.4,73.0,74.5542,85.5444,87.2749,88.4989,89.4303,96.5768,96.7792,97.1299
China,Unemployment Rate,4.6,4.63,4.65,4.56,4.47,4.31,4.56,5.0,4.55,4.98
France,Unemployment Rate,9.913,10.273,10.354,10.057,9.409,9.018,8.415,8.009,7.874,7.308
Germany,Unemployment Rate,5.316,4.979,4.612,4.104,3.781,3.384,3.163,3.881,3.594,3.12
Japan,Unemployment Rate,4.038,3.589,3.385,3.132,2.822,2.467,2.351,2.809,2.828,2.6
Korea,Unemployment Rate,2.747,3.082,3.546,3.65,3.653,3.824,3.746,3.931,3.639,2.857
United Kingdom,Unemployment Rate,7.704,6.363,5.517,4.867,4.452,4.12,3.613,4.472,4.826,3.73
United States of America,Unemployment Rate,7.375,6.168,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65
